1;LIGNA V8416 SABIA RIGATO DE FORMICA 3050x1220 mm/TABLERO/CONTRATIRO;normal;NULL;NULL
2;TABLERO POLIREY COMPACT MONOCHROM B170;normal;NULL;NULL
3;CANTO MELAM. CALVADOS 1951 DE 0.4X22;acabados;NULL;NULL
4;ROLLO BURBUJA 1,20X180M;embalaje;NULL;NULL
5;ROLLO FOAM 1MM 1,20X400M;embalaje;NULL;NULL
6;CANTONERA FOAM U30;embalaje;NULL;NULL
7;PALETS DE 1200 X 800 1ºFINO;embalaje;NULL;NULL
8;TABLERO MELAMINA EGGER HAYA DEL TIROL 2800X2070X19;normal;NULL;NULL
9;TABLERO MELAMINA EGGER HAYA DEL TIROL 2800X2070X30;normal;NULL;NULL
10;M2 LACADO NORMAL;acabados;NULL;NULL
11;TRANSFORMADOR 12V 50W ;electricidad;NULL;NULL
12;ML TIRA DE LEDS IP20 9.6W  + CARRIL ALUMINIO PARA LED + DIFUSOR OPAL;electricidad;NULL;NULL
13;CABLE DE MANGUERA 3 X 1.5 BLANCA;electricidad;NULL;NULL
14;CERRADURA PUERTA CORREDERA (BOMBILLO LLAVES IGUALES) CROMO;herrajes;NULL;NULL
15;CERRADURA PUERTA CORREDERA (EXPULSOR) CROMO;herrajes;NULL;NULL
16;CERRADURA RIM LOCK 853-NKEY-701.NIQ;herrajes;NULL;NULL
17;BMB CERRADURA KOMBI CIERRE GOLPETE  NIQ;herrajes;NULL;NULL
18;BOMBILLO DE PERA 120MM NIQUEL;herrajes;NULL;NULL
19;BOMBILLO KEY A004 NIQUEL;herrajes;NULL;NULL
20;CANTO PVC FICHTE PRB 33 X 0,8;acabados;NULL;NULL
21;ROLLO CANTO HOJA ROBLE PORO ABIERTO 50MM;acabados;NULL;NULL
22;CANTO FICHTE PRB 33;acabados;NULL;NULL
23;ROLLO CANTO OLMO GAUDI 35 X 0,8MM;acabados;NULL;NULL
24;CANTO EGGER CALVADOS H1951 22 X 0,8;acabados;NULL;NULL
25;CANTO CHAPA ROBLE;acabados;NULL;NULL
26;CANTO EGGER REF. F509 ST2 33MM;acabados;NULL;NULL
27;CANTO HOJA NOGAL 42MM;acabados;NULL;NULL
28;ROLLO CANTO OLMO GAUDI 22 X 0,8MM;acabados;NULL;NULL
29;CANTO EGGER H1555 ST 15 33MM;acabados;NULL;NULL
30;CANTO DE ALUMINIO RAYADO DE 22 X 1;acabados;NULL;NULL
31;CANTO HOJA WENGE  50 X 0,8;acabados;NULL;NULL
32;LAMPARA DE TECHO PARA MESA NIDO, SOUTHERN COTTON;electricidad;NULL;NULL
33;LAMPARA DECOSTAR 51S WFL 50 W 38º CERRADA;electricidad;NULL;NULL
34;LAMPARA ESF. CLARA E27 25W 220V;electricidad;NULL;NULL
35;LAMPARA FARO 29874 NEGRO ;electricidad;NULL;NULL
36;LAMPARA HALÓGENA 50 W 220V GU10;electricidad;NULL;NULL
37;LAMPARA LED GU 10 3X 2W 600K;electricidad;NULL;NULL
38;LAMPARA MESA BAILAORA GRUPO ELÉCTRICO 361800000;electricidad;NULL;NULL
39;LAMPARA MND 3 X 3W D80 X 66 12º;electricidad;NULL;NULL
40;DM CRUDO DE 40MM  (M2);normal;NULL;NULL
41;DM CRUDO DE 4MM  (M2);normal;NULL;NULL
42;DM CRUDO DE 50MM  (M2);normal;NULL;NULL
43;DM CRUDO EN 244 X 122 X 19 MM;normal;NULL;NULL
44;TABLERO DE DM CRUDO 244 X 205 X 35;normal;NULL;NULL
45;TABLERO DE DM CRUDO 2750 X 1220 X 19 MM;normal;NULL;NULL
46;ALFOMBRA 280 X 180 CM LES BEST III 995 CON CENEFA 637 DAMA PIEL SINTETICA ANCHO 6 CM;complementos;NULL;NULL
47;ALFOMBRA PIEL DE VACA IKEA;complementos;NULL;NULL
48;ALFOMBRA, COUCHEL;complementos;NULL;NULL
49;FELPUDO PURO EGO A MEDIDA NEGRO;complementos;NULL;NULL
50;ASIENTO DE PROBADORES;complementos;NULL;NULL
51;ASIENTO EN TELA JACKARD TWO 1702 DE 365 X 445 X 70MM;complementos;NULL;NULL
52;ASIENTO FOOTWEAR;complementos;NULL;NULL
53;ASIENTO NEGRO DE 150 X 75;complementos;NULL;NULL
54;ASIENTO NEGRO DE 150 X 75 ;complementos;NULL;NULL
